지점,지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
108,서울,1908,10.4,5.8,15.7
108,서울,1909,10.6,5.8,16
108,서울,1910,10.3,5.7,15.9
108,서울,1911,10.6,6,15.9
108,서울,1912,10.1,5.1,15.6
108,서울,1913,10,4.9,15.6
108,서울,1914,12,7.7,17
108,서울,1915,10.8,6.6,15.8
108,서울,1916,10.9,6.4,16.5
108,서울,1917,9.8,4.8,15.5
108,서울,1918,10.5,5.6,16.1
108,서울,1919,11.1,6,16.8
108,서울,1920,11.4,6.3,16.9
108,서울,1921,10.9,6.1,16.4
108,서울,1922,10.8,5.9,16.3
108,서울,1923,10.6,5.7,15.9
108,서울,1924,11,5.8,16.6
108,서울,1925,10.7,5.8,15.9
108,서울,1926,10.5,5.6,15.6
108,서울,1927,11,5.9,16.3
108,서울,1928,11.1,5.9,16.6
108,서울,1929,11.4,6.2,17.3
108,서울,1930,11.8,6.6,17.4
108,서울,1931,10.9,6.3,16.7
108,서울,1932,11.6,7.2,17.5
108,서울,1933,10.5,6.4,15.5
108,서울,1934,10.1,5.8,15.1
108,서울,1935,11.2,6.6,16.7
108,서울,1936,9.8,5.3,15.1
108,서울,1937,11.4,6.9,16.8
108,서울,1938,10.9,6.4,16.3
108,서울,1939,11.7,6.7,17.6
108,서울,1940,10.8,6,16.3
108,서울,1941,11.1,6.3,16.8
108,서울,1942,10.9,5.9,16.6
108,서울,1943,11.7,6.4,17.8
108,서울,1944,10.9,6,16.6
108,서울,1945,10.4,5.7,16
108,서울,1946,11.3,6.6,16.9
108,서울,1947,9.6,5,14.8
108,서울,1948,11.7,6.9,17.3
108,서울,1949,11.7,7.4,17.2
108,서울,1954,11.4,7.1,16.6
108,서울,1955,11.5,7.1,16.7
108,서울,1956,10.1,5.8,15
108,서울,1957,10.4,6.1,15.7
108,서울,1958,11.6,7.3,16.7
108,서울,1959,12,7.9,17
108,서울,1960,12.1,7.8,17
108,서울,1961,12.4,8.1,17.2
108,서울,1962,11.7,7.3,16.5
108,서울,1963,11.3,7.2,16
108,서울,1964,12.2,8.4,16.7
108,서울,1965,11.4,7,16.4
108,서울,1966,11.5,7.4,16.3
108,서울,1967,11.6,7.7,16.5
108,서울,1968,11.8,7.6,16.8
108,서울,1969,10.9,7,15.4
108,서울,1970,11.4,7.5,16.1
108,서울,1971,11.5,7.8,16.1
108,서울,1972,11.9,8,16.5
108,서울,1973,12,8.2,16.8
108,서울,1974,11.1,7.2,15.9
108,서울,1975,12.5,8.6,17.4
108,서울,1976,11.5,7.4,16.4
108,서울,1977,12.3,8.1,17.3
108,서울,1978,12.4,8.4,17.2
108,서울,1979,12.5,8.6,17.2
108,서울,1980,10.8,6.8,15.7
108,서울,1981,11.2,7.2,15.8
108,서울,1982,12.5,8.3,17.4
108,서울,1983,12.4,8.3,16.9
108,서울,1984,11.6,7.6,16.5
108,서울,1985,11.6,7.7,16.2
108,서울,1986,11.2,7.4,15.7
108,서울,1987,11.9,7.9,16.4
108,서울,1988,12.1,8,16.8
108,서울,1989,13,9,17.5
108,서울,1990,12.8,9,17.1
108,서울,1991,12.3,8.2,17
108,서울,1992,12.5,8.5,16.9
108,서울,1993,12,8.1,16.7
108,서울,1994,13.5,9.5,18.3
108,서울,1995,12.2,8.2,16.7
108,서울,1996,12.2,8.3,16.8
108,서울,1997,12.9,8.7,17.7
108,서울,1998,13.8,9.8,18.4
108,서울,1999,13.2,9,17.8
108,서울,2000,12.7,8.6,17.1
108,서울,2001,12.8,8.9,17.3
108,서울,2002,12.9,9.1,17.2
108,서울,2003,12.8,9.2,17
108,서울,2004,13.3,9.5,17.7
108,서울,2005,12.1,8.4,16.4
108,서울,2006,13,9.3,17.2
108,서울,2007,13.3,9.7,17.5
108,서울,2008,12.9,9.1,17.3
108,서울,2009,12.9,9.1,17.2
108,서울,2010,12.1,8.5,16.3
108,서울,2011,12,8.4,16.4
108,서울,2012,12.2,8.5,16.7
108,서울,2013,12.5,8.7,16.9
108,서울,2014,13.4,9.3,18.3
108,서울,2015,13.6,9.3,18.7
108,서울,2016,13.6,9.4,18.5
108,서울,2017,13,8.8,18.1
108,서울,2018,12.9,8.8,17.9
108,서울,2019,13.5,9.3,18.5
108,서울,2020,13.2,9.4,17.9
108,서울,2021,13.7,9.6,18.5
108,서울,2022,13.2,9.2,18
108,서울,2023,14.1,10,18.7
